Fecha,Fecha_dt,Tipo_Dia,Temperatura_Media_GBA,Demanda_Dia_Anterior,Mes_Estacional,Demanda_Actual,Cantidad_Cortes,Total_Usuarios_Afectados,Alerta_Corte
28/02/2020,28/02/2020,1,27.4,6617.1,2,7234,3613,321734,0
29/02/2020,29/02/2020,0,29.6,7234,2,6657.1,7913,821241,1
01/03/2020,01/03/2020,0,24.3,6657.1,3,5702.2,4518,467154,0
02/03/2020,02/03/2020,1,25.3,5702.2,3,6482.8,2762,260950,0
03/03/2020,03/03/2020,1,21.9,6482.8,3,6295.7,7864,519398,0
04/03/2020,04/03/2020,1,21.5,6295.7,3,6463.9,6461,405073,0
05/03/2020,05/03/2020,1,28.4,6463.9,3,7401.9,5079,185772,0
06/03/2020,06/03/2020,1,30.1,7401.9,3,7694.1,15342,1698627,1
07/03/2020,07/03/2020,0,25,7694.1,3,5717.1,4493,356652,0
08/03/2020,08/03/2020,0,28.6,5717.1,3,6623.5,8626,518947,0
09/03/2020,09/03/2020,1,26.2,6623.5,3,6739,542,52336,0
10/03/2020,10/03/2020,1,22.6,6739,3,6222.4,500,25272,0
11/03/2020,11/03/2020,1,26,6222.4,3,7279.6,2066,161421,0
12/03/2020,12/03/2020,1,29.9,7279.6,3,7943.3,16182,1076870,1
13/03/2020,13/03/2020,1,24.3,7943.3,3,6286.4,3745,309986,0
14/03/2020,14/03/2020,0,29.7,6286.4,3,7134.1,13352,917663,0
15/03/2020,15/03/2020,0,15,7134.1,3,5399.9,1200,49177,0
16/03/2020,16/03/2020,1,26.9,5399.9,3,7376.9,500,35755,0
17/03/2020,17/03/2020,1,24.1,7376.9,3,6435.9,4287,390019,0
18/03/2020,18/03/2020,1,22.6,6435.9,3,6267.8,1757,121963,0
19/03/2020,19/03/2020,1,23.8,6267.8,3,6434.3,500,42751,0
20/03/2020,20/03/2020,1,16.4,6434.3,3,5828.7,3217,157920,0
21/03/2020,21/03/2020,0,22.4,5828.7,3,5162,4189,291029,0
22/03/2020,22/03/2020,0,24.3,5162,3,5216.8,2816,161947,0
23/03/2020,23/03/2020,1,28.1,5216.8,3,7367.9,3765,319797,0
24/03/2020,24/03/2020,1,20.9,7367.9,3,6819.8,2760,194938,0
25/03/2020,25/03/2020,1,19.7,6819.8,3,6969.4,2444,204810,0
26/03/2020,26/03/2020,1,20.7,6969.4,3,6491.4,977,89643,0
27/03/2020,27/03/2020,1,25.5,6491.4,3,6825.3,1927,161544,0
28/03/2020,28/03/2020,0,23.2,6825.3,3,4959.7,3781,285323,0
29/03/2020,29/03/2020,0,20.1,4959.7,3,5337.2,3482,174224,0
30/03/2020,30/03/2020,1,23.6,5337.2,3,6063.7,3252,227458,0
31/03/2020,31/03/2020,1,21.9,6063.7,3,6113.7,1507,89422,0
01/04/2020,01/04/2020,1,24.8,6113.7,4,6449.6,2727,172124,0
02/04/2020,02/04/2020,1,18.8,6449.6,4,6158.4,500,31254,0
03/04/2020,03/04/2020,1,19.9,6158.4,4,5706.2,3267,164661,0
04/04/2020,04/04/2020,0,19.6,5706.2,4,5724.4,5143,158678,0
05/04/2020,05/04/2020,0,15.6,5724.4,4,5178.2,788,44630,0
06/04/2020,06/04/2020,1,21.6,5178.2,4,6371.8,2121,156673,0
07/04/2020,07/04/2020,1,21.3,6371.8,4,6922.2,3493,150326,0
08/04/2020,08/04/2020,1,20.3,6922.2,4,6024.2,4879,343060,0
09/04/2020,09/04/2020,1,19.3,6024.2,4,5540.9,2327,251328,0
10/04/2020,10/04/2020,1,14.9,5540.9,4,6229.2,1961,177394,0
11/04/2020,11/04/2020,0,18.3,6229.2,4,5830.3,500,51435,0
12/04/2020,12/04/2020,0,18.4,5830.3,4,6087.5,3155,245530,0
13/04/2020,13/04/2020,1,16.6,6087.5,4,5931.1,6063,565982,0
14/04/2020,14/04/2020,1,18.7,5931.1,4,6449,3416,189658,0
15/04/2020,15/04/2020,1,20.5,6449,4,6160.4,2966,169397,0
16/04/2020,16/04/2020,1,25.5,6160.4,4,6643.2,3483,69660,0
17/04/2020,17/04/2020,1,19.3,6643.2,4,7093.3,2983,279575,0
18/04/2020,18/04/2020,0,19.4,7093.3,4,5049.1,1780,179435,0
19/04/2020,19/04/2020,0,18.1,5049.1,4,5576.1,4234,249536,0
20/04/2020,20/04/2020,1,11.5,5576.1,4,6965.3,3338,216706,0
21/04/2020,21/04/2020,1,17.9,6965.3,4,6625.7,3026,166196,0
22/04/2020,22/04/2020,1,18.1,6625.7,4,6329.4,1536,119275,0
23/04/2020,23/04/2020,1,26.3,6329.4,4,6967.4,4955,458330,0
24/04/2020,24/04/2020,1,16.8,6967.4,4,6182.5,3997,140472,0
25/04/2020,25/04/2020,0,18.4,6182.5,4,5580.7,2170,169669,0
26/04/2020,26/04/2020,0,17,5580.7,4,5397,4502,290228,0
27/04/2020,27/04/2020,1,12.9,5397,4,6801.5,2253,162819,0
28/04/2020,28/04/2020,1,20.8,6801.5,4,6189.1,1826,144582,0
29/04/2020,29/04/2020,1,19.3,6189.1,4,6413.1,1860,123198,0
30/04/2020,30/04/2020,1,19.3,6413.1,4,6291.2,500,33964,0
01/05/2020,01/05/2020,1,13.1,6291.2,5,6922.8,3707,243633,0
02/05/2020,02/05/2020,0,21.1,6922.8,5,5484.6,500,44703,0
03/05/2020,03/05/2020,0,11.1,5484.6,5,5553.1,1157,90680,0
04/05/2020,04/05/2020,1,17.9,5553.1,5,6678.6,500,37205,0
05/05/2020,05/05/2020,1,23.3,6678.6,5,6028.3,2870,127947,0
06/05/2020,06/05/2020,1,12,6028.3,5,6553.9,2774,173176,0
07/05/2020,07/05/2020,1,13.4,6553.9,5,6361.3,2509,220725,0
08/05/2020,08/05/2020,1,15.5,6361.3,5,6712.3,1436,101602,0
09/05/2020,09/05/2020,0,13.3,6712.3,5,5114.3,1241,103239,0
10/05/2020,10/05/2020,0,9.4,5114.3,5,7281.3,3696,389300,0
11/05/2020,11/05/2020,1,15,7281.3,5,6616.8,2174,197338,0
12/05/2020,12/05/2020,1,10.8,6616.8,5,6997,3474,249652,0
13/05/2020,13/05/2020,1,16.1,6997,5,6283.5,1672,99952,0
14/05/2020,14/05/2020,1,11,6283.5,5,6985.7,3271,65420,0
15/05/2020,15/05/2020,1,19.5,6985.7,5,6456.3,4954,330096,0
16/05/2020,16/05/2020,0,11.2,6456.3,5,6263.6,3879,246237,0
17/05/2020,17/05/2020,0,12.7,6263.6,5,6011.7,2381,185259,0
18/05/2020,18/05/2020,1,16.5,6011.7,5,6326.9,3385,226530,0
19/05/2020,19/05/2020,1,9.2,6326.9,5,7110.8,2639,167820,0
20/05/2020,20/05/2020,1,14.2,7110.8,5,6374.6,3011,103614,0
21/05/2020,21/05/2020,1,17.8,6374.6,5,6241.5,2511,128564,0
22/05/2020,22/05/2020,1,7.5,6241.5,5,7765.1,4078,324335,0
23/05/2020,23/05/2020,0,13.6,7765.1,5,5888.1,3318,346127,0
24/05/2020,24/05/2020,0,13.7,5888.1,5,4812.9,1509,102686,0
25/05/2020,25/05/2020,1,15.4,4812.9,5,6496.8,1476,112996,0
26/05/2020,26/05/2020,1,8.2,6496.8,5,7378.4,917,81658,0
27/05/2020,27/05/2020,1,7.8,7378.4,5,7374.4,599,32215,0
28/05/2020,28/05/2020,1,14.1,7374.4,5,6318.4,1174,90792,0
29/05/2020,29/05/2020,1,13.2,6318.4,5,6907.2,3239,178761,0
30/05/2020,30/05/2020,0,12.9,6907.2,5,6099.3,1660,144912,0
31/05/2020,31/05/2020,0,13.1,6099.3,5,5553.1,3770,275315,0
01/06/2020,01/06/2020,1,9.4,5553.1,6,7262.1,3052,231857,0
02/06/2020,02/06/2020,1,12.5,7262.1,6,6383.5,500,27174,0
03/06/2020,03/06/2020,1,12.6,6383.5,6,6246.1,3982,335048,0
04/06/2020,04/06/2020,1,8.9,6246.1,6,7027,4216,470902,0
05/06/2020,05/06/2020,1,17.9,7027,6,6558.7,1509,75211,0
06/06/2020,06/06/2020,0,12.9,6558.7,6,6100.9,3630,229433,0
07/06/2020,07/06/2020,0,6.9,6100.9,6,6868.9,1715,127994,0
08/06/2020,08/06/2020,1,13.3,6868.9,6,6772.5,3146,269700,0
09/06/2020,09/06/2020,1,7.5,6772.5,6,7579.9,1502,88331,0
10/06/2020,10/06/2020,1,13.6,7579.9,6,6317.6,500,10000,0
11/06/2020,11/06/2020,1,14.8,6317.6,6,6459.6,2425,235670,0
12/06/2020,12/06/2020,1,7.7,6459.6,6,7635.1,3489,297298,0
13/06/2020,13/06/2020,0,13.9,7635.1,6,5891.3,2403,84443,0
14/06/2020,14/06/2020,0,11.9,5891.3,6,6321.7,1223,70748,0
15/06/2020,15/06/2020,1,13.2,6321.7,6,6782.5,2400,243272,0
16/06/2020,16/06/2020,1,16.9,6782.5,6,6405.4,3403,336747,0
17/06/2020,17/06/2020,1,9.3,6405.4,6,7476,2932,260281,0
18/06/2020,18/06/2020,1,7.5,7476,6,7417,3273,217581,0
19/06/2020,19/06/2020,1,6.9,7417,6,7250.4,1994,142889,0
20/06/2020,20/06/2020,0,7.1,7250.4,6,6636.1,4757,320533,0
21/06/2020,21/06/2020,0,9.6,6636.1,6,6086.5,1235,114317,0
22/06/2020,22/06/2020,1,11,6086.5,6,6697.4,3731,195814,0
23/06/2020,23/06/2020,1,10.7,6697.4,6,6901.6,4772,257134,0
24/06/2020,24/06/2020,1,12.6,6901.6,6,6422.3,3721,335654,0
25/06/2020,25/06/2020,1,9.7,6422.3,6,7002.6,2696,186328,0
26/06/2020,26/06/2020,1,14.6,7002.6,6,5791.9,2207,215335,0
27/06/2020,27/06/2020,0,8.6,5791.9,6,6524,4554,257618,0
28/06/2020,28/06/2020,0,19,6524,6,5500.4,865,59602,0
29/06/2020,29/06/2020,1,11.6,5500.4,6,6564.9,1544,79595,0
30/06/2020,30/06/2020,1,6.4,6564.9,6,7787.8,3842,269505,0
01/07/2020,01/07/2020,1,5.6,7787.8,7,7991.3,7312,295617,0
02/07/2020,02/07/2020,1,11,7991.3,7,6417.7,3569,215022,0
03/07/2020,03/07/2020,1,8.4,6417.7,7,7061.2,1547,63852,0
04/07/2020,04/07/2020,0,11.7,7061.2,7,5764.3,2534,212548,0
05/07/2020,05/07/2020,0,10.8,5764.3,7,5848,2078,175241,0
06/07/2020,06/07/2020,1,8.9,5848,7,7463.8,1935,68488,0
07/07/2020,07/07/2020,1,6.1,7463.8,7,7576.9,4852,469080,0
08/07/2020,08/07/2020,1,3.8,7576.9,7,7900.6,2945,353247,0
09/07/2020,09/07/2020,1,7.5,7900.6,7,6823.8,5413,383890,0
10/07/2020,10/07/2020,1,12,6823.8,7,6940.6,4242,242547,0
11/07/2020,11/07/2020,0,9.8,6940.6,7,5908.2,4636,586391,0
12/07/2020,12/07/2020,0,4.7,5908.2,7,7063,2305,100545,0
13/07/2020,13/07/2020,1,9.6,7063,7,7193.2,2775,195365,0
14/07/2020,14/07/2020,1,10.4,7193.2,7,7398.2,850,62553,0
15/07/2020,15/07/2020,1,5.9,7398.2,7,7272.4,2213,214446,0
16/07/2020,16/07/2020,1,9.5,7272.4,7,6219.1,3740,288708,0
17/07/2020,17/07/2020,1,9.2,6219.1,7,7225.2,4944,296775,0
18/07/2020,18/07/2020,0,5,7225.2,7,7540.2,1540,78503,0
19/07/2020,19/07/2020,0,10.3,7540.2,7,6576.7,2451,154813,0
20/07/2020,20/07/2020,1,11,6576.7,7,6962.9,2773,138265,0
21/07/2020,21/07/2020,1,12.8,6962.9,7,6482.5,906,64286,0
22/07/2020,22/07/2020,1,12.8,6482.5,7,6872.1,3887,228229,0
23/07/2020,23/07/2020,1,4.3,6872.1,7,7612.9,2478,99415,0
24/07/2020,24/07/2020,1,5.8,7612.9,7,7822.9,4321,410939,0
25/07/2020,25/07/2020,0,10.9,7822.9,7,6266.6,2322,139428,0
26/07/2020,26/07/2020,0,11,6266.6,7,6418.1,1815,81016,0
27/07/2020,27/07/2020,1,11,6418.1,7,7727.9,4128,275068,0
28/07/2020,28/07/2020,1,22.7,7727.9,7,6417.7,2676,190979,0
29/07/2020,29/07/2020,1,11.3,6417.7,7,6702.3,2442,85642,0
30/07/2020,30/07/2020,1,13.3,6702.3,7,6547.3,1907,146139,0
31/07/2020,31/07/2020,1,12.7,6547.3,7,6114.3,3479,170668,0
01/08/2020,01/08/2020,0,11.7,6114.3,8,5786.6,5480,571128,0
02/08/2020,02/08/2020,0,8.3,5786.6,8,6382.2,3209,258257,0
03/08/2020,03/08/2020,1,12.2,6382.2,8,6562.8,4494,278636,0
04/08/2020,04/08/2020,1,6.9,6562.8,8,7560.7,1218,67107,0
05/08/2020,05/08/2020,1,8.8,7560.7,8,6983.3,3236,219726,0
06/08/2020,06/08/2020,1,8,6983.3,8,7686.3,2285,187954,0
07/08/2020,07/08/2020,1,10,7686.3,8,7050.1,784,54480,0
08/08/2020,08/08/2020,0,17.9,7050.1,8,5497.2,1890,124091,0
09/08/2020,09/08/2020,0,3.3,5497.2,8,7156.6,4787,340678,0
10/08/2020,10/08/2020,1,12.3,7156.6,8,6751.6,4425,256308,0
11/08/2020,11/08/2020,1,4.4,6751.6,8,8137.5,6552,413666,0
12/08/2020,12/08/2020,1,8.4,8137.5,8,7029.9,700,19798,0
13/08/2020,13/08/2020,1,14,7029.9,8,6252.6,2705,242028,0
14/08/2020,14/08/2020,1,10.5,6252.6,8,6883.9,3452,262268,0
15/08/2020,15/08/2020,0,6.6,6883.9,8,6356.2,3263,177934,0
16/08/2020,16/08/2020,0,7.9,6356.2,8,6319.2,500,53987,0
17/08/2020,17/08/2020,1,12.9,6319.2,8,6472.1,1664,119375,0
18/08/2020,18/08/2020,1,8.1,6472.1,8,7597.3,3390,167049,0
19/08/2020,19/08/2020,1,11.5,7597.3,8,6903.8,3804,331460,0
20/08/2020,20/08/2020,1,11,6903.8,8,6958.1,500,38980,0
21/08/2020,21/08/2020,1,8.6,6958.1,8,7515.3,2833,220666,0
22/08/2020,22/08/2020,0,18.5,7515.3,8,5458.8,3214,197612,0
23/08/2020,23/08/2020,0,13.3,5458.8,8,5872.1,4274,337688,0
24/08/2020,24/08/2020,1,4.1,5872.1,8,7904,6059,392410,0
25/08/2020,25/08/2020,1,12,7904,8,6829.6,3873,314173,0
26/08/2020,26/08/2020,1,9.1,6829.6,8,7010.2,1800,57421,0
27/08/2020,27/08/2020,1,14.5,7010.2,8,5643.4,500,30661,0
28/08/2020,28/08/2020,1,8.9,5643.4,8,7174.7,2410,251707,0
29/08/2020,29/08/2020,0,11.4,7174.7,8,6466.8,4502,246073,0
30/08/2020,30/08/2020,0,13.7,6466.8,8,5972.9,5090,294829,0
31/08/2020,31/08/2020,1,15.1,5972.9,8,6589.6,4065,248130,0
01/09/2020,01/09/2020,1,8,6589.6,9,7720.8,4748,217002,0
02/09/2020,02/09/2020,1,11.1,7720.8,9,6911.6,3569,92202,0
03/09/2020,03/09/2020,1,10.8,6911.6,9,6989.2,2165,141565,0
04/09/2020,04/09/2020,1,10.3,6989.2,9,6819.7,2804,203898,0
05/09/2020,05/09/2020,0,18.9,6819.7,9,5405.2,5503,379431,0
06/09/2020,06/09/2020,0,14.2,5405.2,9,5804.7,1586,106424,0
07/09/2020,07/09/2020,1,8.5,5804.7,9,7636.2,6103,432463,0
08/09/2020,08/09/2020,1,16.3,7636.2,9,6258.2,2516,227589,0
09/09/2020,09/09/2020,1,20.7,6258.2,9,6164.9,4988,330161,0
10/09/2020,10/09/2020,1,17,6164.9,9,6300.2,889,52022,0
11/09/2020,11/09/2020,1,8.2,6300.2,9,7500.4,3880,249784,0
12/09/2020,12/09/2020,0,12,7500.4,9,5516.8,1894,154525,0
13/09/2020,13/09/2020,0,18.2,5516.8,9,4811.1,877,86156,0
14/09/2020,14/09/2020,1,11.5,4811.1,9,6659.8,3327,191093,0
15/09/2020,15/09/2020,1,15.7,6659.8,9,5933.8,4514,324911,0
16/09/2020,16/09/2020,1,17,5933.8,9,6147.6,1732,132960,0
17/09/2020,17/09/2020,1,11.2,6147.6,9,6825.7,751,37661,0
18/09/2020,18/09/2020,1,14.3,6825.7,9,6269,2862,201508,0
19/09/2020,19/09/2020,0,3.4,6269,9,7675.7,3747,152452,0
20/09/2020,20/09/2020,0,11.3,7675.7,9,6153,3822,132313,0
21/09/2020,21/09/2020,1,14.1,6153,9,6525.1,4424,342129,0
22/09/2020,22/09/2020,1,10.8,6525.1,9,7116.7,2910,181358,0
23/09/2020,23/09/2020,1,21.1,7116.7,9,5958.4,5783,428205,0
24/09/2020,24/09/2020,1,10.5,5958.4,9,7286.7,3336,232326,0
25/09/2020,25/09/2020,1,14.1,7286.7,9,6412.3,2480,125170,0
26/09/2020,26/09/2020,0,16.3,6412.3,9,5701.1,582,40213,0
27/09/2020,27/09/2020,0,21,5701.1,9,5178.4,2606,118150,0
28/09/2020,28/09/2020,1,11.1,5178.4,9,6418.9,2495,244059,0
29/09/2020,29/09/2020,1,20.4,6418.9,9,6545.4,4440,190389,0
30/09/2020,30/09/2020,1,16.5,6545.4,9,6412.9,3693,244049,0
01/10/2020,01/10/2020,1,13.2,6412.9,10,6299.4,1230,60460,0
02/10/2020,02/10/2020,1,18.4,6299.4,10,6039.1,3258,265228,0
03/10/2020,03/10/2020,0,17.7,6039.1,10,5837.6,4007,253929,0
04/10/2020,04/10/2020,0,15.1,5837.6,10,5143.2,5292,315544,0
05/10/2020,05/10/2020,1,17.6,5143.2,10,6792.8,4331,377074,0
06/10/2020,06/10/2020,1,16.2,6792.8,10,6029.8,4141,292307,0
07/10/2020,07/10/2020,1,18.1,6029.8,10,6491.5,3090,248228,0
08/10/2020,08/10/2020,1,20.2,6491.5,10,6201.4,3582,180437,0
09/10/2020,09/10/2020,1,23.6,6201.4,10,6481,4874,204238,0
10/10/2020,10/10/2020,0,13.9,6481,10,5501.8,1000,72144,0
11/10/2020,11/10/2020,0,25.8,5501.8,10,5901.2,2475,157467,0
12/10/2020,12/10/2020,1,11.7,5901.2,10,6807.3,1841,151935,0
13/10/2020,13/10/2020,1,18.2,6807.3,10,5999.3,3568,244057,0
14/10/2020,14/10/2020,1,20.9,5999.3,10,6522.2,4845,359021,0
15/10/2020,15/10/2020,1,20,6522.2,10,6146,2104,78968,0
16/10/2020,16/10/2020,1,17,6146,10,6231.4,500,53884,0
17/10/2020,17/10/2020,0,18.7,6231.4,10,5201.7,2381,158848,0
18/10/2020,18/10/2020,0,17.8,5201.7,10,4731.3,4370,366869,0
19/10/2020,19/10/2020,1,17.7,4731.3,10,6242.7,3806,202776,0
20/10/2020,20/10/2020,1,22.9,6242.7,10,7023.8,3642,277375,0
21/10/2020,21/10/2020,1,21.3,7023.8,10,6535.4,2580,113373,0
22/10/2020,22/10/2020,1,17.8,6535.4,10,6294.2,1081,85443,0
23/10/2020,23/10/2020,1,23.6,6294.2,10,6221.1,3772,237185,0
24/10/2020,24/10/2020,0,21.7,6221.1,10,5506.7,1748,123380,0
25/10/2020,25/10/2020,0,23.6,5506.7,10,5664.1,6276,526929,0
26/10/2020,26/10/2020,1,23.1,5664.1,10,5945.8,3855,174821,0
27/10/2020,27/10/2020,1,18.2,5945.8,10,6634.3,2129,119884,0
28/10/2020,28/10/2020,1,19.3,6634.3,10,6514.6,2082,164782,0
29/10/2020,29/10/2020,1,24,6514.6,10,6515.5,2860,320218,0
30/10/2020,30/10/2020,1,23.7,6515.5,10,6431.5,2640,177509,0
31/10/2020,31/10/2020,0,21.7,6431.5,10,5505.9,4675,382521,0
01/11/2020,01/11/2020,0,22.3,5505.9,11,5701.9,3279,222514,0
02/11/2020,02/11/2020,1,26.6,5701.9,11,7127.5,1902,207023,0
03/11/2020,03/11/2020,1,20.2,7127.5,11,6193.8,5835,204549,0
04/11/2020,04/11/2020,1,24.3,6193.8,11,6202.9,3073,220925,0
05/11/2020,05/11/2020,1,21.9,6202.9,11,6330.6,4153,155692,0
06/11/2020,06/11/2020,1,22,6330.6,11,6764.7,2087,41740,0
07/11/2020,07/11/2020,0,26.7,6764.7,11,5803.3,3544,269164,0
08/11/2020,08/11/2020,0,25.9,5803.3,11,5534.7,3466,252289,0
09/11/2020,09/11/2020,1,26.1,5534.7,11,6874.4,500,32151,0
10/11/2020,10/11/2020,1,27.9,6874.4,11,7290.3,6994,474725,0
11/11/2020,11/11/2020,1,23.6,7290.3,11,6352,4935,651252,0
12/11/2020,12/11/2020,1,26.1,6352,11,6898.2,2404,155866,0
13/11/2020,13/11/2020,1,22.7,6898.2,11,6233,1346,107952,0
14/11/2020,14/11/2020,0,25.1,6233,11,6222,3521,200741,0
15/11/2020,15/11/2020,0,23.7,6222,11,5019.7,3130,237581,0
16/11/2020,16/11/2020,1,24.6,5019.7,11,6201.5,3533,230476,0
17/11/2020,17/11/2020,1,26.5,6201.5,11,6894,3287,203102,0
18/11/2020,18/11/2020,1,21.7,6894,11,5807,3759,399874,0
19/11/2020,19/11/2020,1,32,5807,11,8247.2,38906,3639411,1
20/11/2020,20/11/2020,1,21.3,8247.2,11,6798.4,3852,280174,0
21/11/2020,21/11/2020,0,20.7,6798.4,11,5506.3,1425,34079,0
22/11/2020,22/11/2020,0,29.2,5506.3,11,6869.2,10851,681223,0
23/11/2020,23/11/2020,1,28,6869.2,11,6922,6660,826243,0
24/11/2020,24/11/2020,1,27.6,6922,11,7015.1,8160,533556,0
25/11/2020,25/11/2020,1,27.7,7015.1,11,7112.4,1902,175106,0
26/11/2020,26/11/2020,1,25.6,7112.4,11,6604.7,3364,332493,0
27/11/2020,27/11/2020,1,22.6,6604.7,11,6684.5,500,37189,0
28/11/2020,28/11/2020,0,26.2,6684.5,11,6217.3,3829,203563,0
29/11/2020,29/11/2020,0,23.7,6217.3,11,5166.6,2177,46356,0
30/11/2020,30/11/2020,1,29.6,5166.6,11,7774,15367,1285960,1
01/12/2020,01/12/2020,1,25.8,7774,12,6899.5,1838,98709,0
02/12/2020,02/12/2020,1,23.5,6899.5,12,6642,500,36761,0
03/12/2020,03/12/2020,1,25.4,6642,12,7124.2,2293,103193,0
04/12/2020,04/12/2020,1,28.1,7124.2,12,7020.5,1488,96266,0
05/12/2020,05/12/2020,0,24.7,7020.5,12,5431.7,4126,291602,0
06/12/2020,06/12/2020,0,24,5431.7,12,5122.7,500,37685,0
07/12/2020,07/12/2020,1,27.8,5122.7,12,7179.8,3810,181750,0
08/12/2020,08/12/2020,1,27.9,7179.8,12,7414.9,855,80317,0
09/12/2020,09/12/2020,1,25.4,7414.9,12,6946.2,2519,146258,0
10/12/2020,10/12/2020,1,25.6,6946.2,12,6677.2,5465,199530,0
11/12/2020,11/12/2020,1,28.1,6677.2,12,7229,4992,338555,0
12/12/2020,12/12/2020,0,22.4,7229,12,5545.5,1704,120451,0
13/12/2020,13/12/2020,0,22.6,5545.5,12,5249.5,2953,216194,0
14/12/2020,14/12/2020,1,25.1,5249.5,12,7201.9,3027,294353,0
15/12/2020,15/12/2020,1,26.9,7201.9,12,6542.7,3708,242024,0
16/12/2020,16/12/2020,1,28.9,6542.7,12,7580.4,5683,384214,0
